PERSON,COUNTRY,SITE,SAMPLE,WTD,pH,AMP WRI,ARC ARE,ARC DEN,ARC DIS,ARC GIB,ARC HEM,ARC MIT,ARC VUL,ARC FLA,ARG DEN,ASS MUS,ASS SEM,BUL IND,CAM MIN,CEN ACU,CEN AER,CEN ECO,COR TRI,CRY SAC,CRY OVI,CYC ARC,CYP AMP,DIF ACU,DIF GRA,DIF LAB,DIF LEI,DIF LUC,DIF OBL,DIF URC,EUG CIL,EUG ROT,HEL PET,HEL ROS,HEL SYL,HYA ELE,HYA PAP,HYA SUB,LAG VAS,LES SPI,LES EPI,MIC PAT,NEB CAR,NEB COL,NEB FLA,NEB MIL,NEB MIN,NEB PEN,NEB TIN,PAD LAG,PAR IRR,PSY GRI,PLA SPI,PLAGIO,PON ELI,PSE GRA,PYX OPE,QUA SYM,SPHENO,TRA DEN,TRI ARC
Mallon,Sweden,North,N5_4,25,3.7,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,42.7,0.0,4.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.1,0.0,0.0,0.0,0.0,0.0,3.4,2.8,0.0,3.4,1.1,4.5,0.0,0.0,11.2,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N5_3,15,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,7.6,1.9,0.0,0.0,0.0,0.0,0.0,0.6,23.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,3.2,5.1,0.0,0.0,2.5,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.0,3.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N5_2,5,3.8,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,38.5,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,15.5,14.5,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N5_1,5,3.9,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,39.0,0.0,5.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.9,0.0,8.8,0.0,0.0,0.0,0.0,15.1,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.9,1.3,0.0,3.8,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N2_15,25,3.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.6,5.8,0.0,0.0,41.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N2_14,0,4.0,10.9,0.0,0.0,1.3,0.0,0.0,0.0,0.0,39.1,0.0,1.9,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,6.4,1.3,1.3,0.0,3.8,0.0,0.6,0.0,0.0,10.9,2.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N2_13,0,3.8,3.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,47.9,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,14.2,0.0,1.1,0.0,1.5,0.0,3.0,0.0,0.0,1.1,7.5,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N2_12,20,3.9,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,30.3,6.1,1.8,0.0,0.0,0.0,0.0,0.6,6.1,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,1.2,0.0,0.0,21.2,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,9.1,1.8,0.0,4.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
Mallon,Sweden,North,N2_11,3,4.0,0.0,0.9,0.0,0.5,0.0,0.0,0.0,0.0,27.0,0.0,3.2,1.4,0.5,0.0,0.0,0.0,0.0,0.0,10.4,0.0,5.0,0.0,0.0,0.0,0.0,4.1,0.5,1.8,0.0,10.8,0.0,6.3,0.0,0.5,9.5,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N2_10,2,3.6,2.0,0.0,0.0,5.9,0.0,1.0,0.0,0.0,40.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,3.9,0.0,0.5,0.0,3.9,0.0,2.0,0.0,0.0,20.5,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
