PERSON,COUNTRY,SITE,SAMPLE,Lat,Long,WTD,pH,AMP WRI,ARC ARE,ARC DIS,ARC GIB,ARC HEM,ARC VUL,ARC FLA,ARG DEN,ASS MUS,ASS SEM,BUL IND,CEN ACU,CEN AER,CEN ECO,COR TRI,CRY SAC,CRY OVI,CYC ARC,DIF ACU,DIF GRA,DIF LAB,DIF LEI,DIF LUC,DIF OBL,EUG CIL,EUG ROT,HEL PET,HEL ROS,HEL SYL,HYA ELE,HYA PAP,HYA SUB,NEB CAR,NEB COL,NEB FLA,NEB MIL,NEB MIN,NEB PEN,NEB TIN,PAD LAG,PAR IRR,PSY GRI,PLA SPI,QUA SYM,SPHENO,TRA DEN,TRI ARC
Lamentowicz,Poland,G?zwa,GAZ7,53.8732,21.2232,5,NA,0,0,10.2,0,0,0,70.1,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,1.9,3.8,0,0,0,0,1.3,0,0,1.3,0,0,0.6,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO130,57.4487,-3.6346,5,4.8,10.9,0,1.4,0,0,0,46.3,0,2.7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,0,0,5.4,4.8,3.4,0,0,0,0,0,0,0,2,0,0,5.4,2,0,0,0,0.7
Payne,Scotland,Moidach More,MOMO131,57.4487,-3.6346,5,4.8,20,1.7,0.8,0,0,0,35,0,6.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,0.8,4.2,1.7,0,0,0,0,0,0,0,0,5,0,0,2.5,5,0,0,0,0
Charman,Ireland,Ballyduff Bog,IR 4,53.0807,-7.9925,5,4.1,13.4,0,0,0,0,0.7,35.6,0,2.7,1.3,0,0,0,0,0,0,0,0.7,0,0,0,20.1,7.4,0,14.8,0,0,0,0.7,0,0,0,0,0,0.7,0.7,0,0,0.7,0,0,0.7,0,0,0,0,0
Lamentowicz,Poland,S?owi?skie B?oto,S?5,54.3624,16.4815,5,3.3,0,0,7.6,0,0,0,53.2,0,0,0,0,0,0,0,0,0,0,4.4,13.3,0,0,1.9,0,0,17.1,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charman,England,Butterburn Flow,GB 1,55.0759,-2.5124,5,4.2,21.9,0,0.7,0,0,0,12.6,0,4.6,7.9,0,1.3,0,0,1.3,4,0,0,0.7,0,0,6.6,15.9,0,4.6,0.7,4,0,0,0,0,0.7,10.6,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Swindles,N. Ireland,Dead Island,DI23,54.8875,-6.5475,5,3.2,15.5,0,4.3,0,0,0,39.1,0,1.9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,4.4,1.9,0,0,1.2,0,0,0,19.3,0,5.6,0,0,0,0,0,0,1.9,0,0,0,0,0
Lamentowicz,Poland,G?zwa,GAZ4,53.8732,21.2232,5.5,NA,0,6.5,34.8,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6,1.3,1.9,0,0,8.4,6.5,0,0,0,0,1.9,0,0,5.8,0,0,0,0,0,0,0,0
Lamentowicz,Poland,Jelenia Wyspa,JEL20,53.6077,17.956,6,4.3,0,3.4,1.7,0,0,0,1.1,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turner,England,Ilkley Moor,IM49,53.8942,-1.8241,6,3.9,0,0,0,0,0,0,0,0,2,0,0,2.6,0,0,14.4,0,0.7,0,0,0,0,0,0.7,0,7.2,0.7,0,0,0,0,24.8,0,2.6,0,21.6,3.9,2,0,17,0,0,0,0,0,0,0,0
Lamentowicz,Poland,Mechacz,MECH3,54.3307,22.4422,6,NA,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,20.9,43.5,0,0,0,0,1.7,0,0,13.9,0,0,0,0,0,0,0,0
Mitchell,England,Roundsea bog,UK-7,54.2141,-3.0013,6,4.3,0,6.6,0,0,0,0,0,0,4,1,1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,17.2,5.1,0,0,0,0,0,0,0,56.1,2.5,1,0,0,2,0,0,0,0,0,0,0,2
Payne,Scotland,Moidach More,MOMO4,57.4487,-3.6346,6,4.5,3.1,1.5,0,0,0,0,16.9,0,12.3,9.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,0,0,2.3,8.5,1.5,0,0,0,0,1.5,0,0,0,6.9,0,0,1.5,2.3,0,0,0,0
Payne,Scotland,Moidach More,MOMO105,57.4487,-3.6346,6,5.1,0,3.1,0,0,0,0,27.9,0,18.6,3.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,3.9,14.7,0,0,0,0,0,0,0,0,1.6,0,0,3.1,0,0,0,0,0
Lamentowicz,Poland,Ku?nik,K 23,53.6965,17.8974,6,5.3,0,1.1,0,0,0,0,16.3,0,1.1,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,1.7,0.6,2.2,0,0,25.3,34.8,0,0,0,0,0.6,0,0,13.5,0,0,2.2,0,0,0,0,0
Bobrov,Russia,Gulnovsky Moch,GUL_2,56.4666,33.05,6,4.1,0,0.6,0,0,0,0,0,0,1.2,0.3,0,0,0,0,0,0,0,5.1,0,0,0,1.8,0,0,6.6,0.6,3.9,0,0,51.5,11.7,0,0.3,0,0,5.7,0,0,0,0,0,9.3,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO111,57.4487,-3.6346,6,5,1.5,0,0.8,0,0,0,37.4,0,19.8,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,5.3,0.8,0,0,0,0,0,0,0,0,18.3,0,0,0,1.5,0,0,0,0
Lamentowicz,Poland,Okoniny,OK03,53.674,18.0766,6,3.5,2.2,0,0,0,0,0,7.6,0,2.7,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,22.2,0,0,33,25.9,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0
Mazei,Russia,Penza-25,p-4-1,52.9857,46.4593,6,4.4,0,0,0,0,0,0,2.5,0,1.7,3.8,0,0.5,0,0,0,0,0,0.4,0,0,0,0,0,0,6.4,0,23.6,0,0,6,38.6,0,0,0,0,0,0,0,5.1,0,0,11.2,0,0,0.2,0,0
Payne,Scotland,Moidach More,MOMO72,57.4487,-3.6346,6,4.9,0,7.1,0,0,0,0,51.6,0,12.3,1.9,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,0,2.6,0,0,0,1.3,7.7,0,0,0,0,0,0,0,0,13.5,0,0,0,0.6,0,0,0,0
Payne,Scotland,Moidach More,MOMO133,57.4487,-3.6346,6,4.9,1.3,2.5,0,0,0,0,45.2,0,15.3,3.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,7.6,2.5,3.8,0,0,0,1.3,0.6,0,0,6.4,0,0,0,0,0,0,0,0
Lamentowicz,Poland,Rybie Oko,RO02,53.814,17.5387,6,NA,0,0,0,0,0,0,14.3,0,3.1,0,0,0,0,0,0,0,0,34.2,0,0,0,0.6,0,0.6,3.7,0,1.2,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO132,57.4487,-3.6346,6,4.7,0.6,1.9,0.6,0,0,0,44.5,0,5.8,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,6.5,3.9,9,0,0,0,1.3,0,0,0,6.5,0,0,0.6,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO146,57.4487,-3.6346,6,4.9,2.2,1.5,0,0,0,0,47.8,0,17.2,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,5.2,2.2,0,0,0,0,0,0,0,0,5.2,0,0,0.7,0,0,0,0,0
Lamentowicz,Switzerland,Mauntschas,23,46.4575,9.8561,6,5.3,0,14.4,0.5,0,0,0,0,3.6,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4.1,0.9,0,0,0,0,0,4.5,0,0,0,8.1,0,0.9,0,0,0,0,0,62.2,0
Payne,Scotland,Moidach More,MOMO101,57.4487,-3.6346,6,4.9,1.3,0.7,0,0,0,0,47.7,0,12.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,14.8,0,0,0,0,0.7,0,0,0,4.7,0,0,6,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO141,57.4487,-3.6346,6,4.8,0.7,5.2,0,0,0,0,60,0,7.4,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,4.4,10.4,2.2,0,0,0,0,0.7,0,0,0.7,0,0,0.7,0,0,0.7,0,0
Payne,Scotland,Moidach More,MOMO125,57.4487,-3.6346,6,5,1.3,0.6,0,0,0,0,54.7,0,11.3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,1.9,10.7,0.6,0,0,0,0,0,0,0,5.7,0,0,4.4,0.6,0,0,0,0
Payne,Scotland,Moidach More,MOMO119,57.4487,-3.6346,6,4.9,6.8,2,0,0,0,0,35.8,0,25,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0.7,2,7.4,0,0,0,0,0.7,0,0,0,5.4,0,0,4.1,0,0,0,0,0
Mitchell,Sweden,La Chaux-des-Breuleux,SU-8,47.2268,7.0498,6,4.7,0,0,0,0,0,0,5.1,0,5.6,8.7,0,0,0,0,4.1,0,0,6.2,0,0,0,4.6,0,0,11.3,2.1,7.2,2.1,0,5.1,6.7,0,0,3.6,0,0,0,0,1,0,0,24.1,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO134,57.4487,-3.6346,6,5,1.8,4.2,0.6,0,0,0,54.5,0,6.7,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,1.2,4.2,9.7,0,0,0,0,0,0,0,6.1,0,0,1.8,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO137,57.4487,-3.6346,6,4.9,1.8,3,0,0,0,0,52.4,0,6.6,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1.2,3,5.4,0,0,0,1.2,0,0,0,5.4,0,0,0,8.4,0,0,0,0
Lamentowicz,Switzerland,Maloja Fen,95,46.4053,9.69,6,4.1,0,1,0,0,0,0,55.6,0,3.1,0,0,12.2,0,0,1,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,12.2,0,0,0,0,1,0,0.5,8.7,0,0,1,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO79,57.4487,-3.6346,6,4.9,3.2,0.6,0,0,0,0,56.7,0,4.5,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,1.9,0,6.4,0,0,0,0,0,0.6,0,0,5.7,0,0,2.5,0,0,0,0,0
Bobrov,Russia,Staroselia,STAR_9,56.4666,33.05,6,4.2,0,0.3,0.3,0,0,0,0,0,6.4,0,0,0,0.3,0,0.6,0,0,12.5,0,0,0,3.8,0,1.2,5.8,2.6,0.9,0,0,33.8,5.8,0,2.3,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO103,57.4487,-3.6346,6,4.8,2.6,3.3,0,0,0,0,64.1,0,10.5,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0.7,2.6,0,0,0,0,0.7,0,0,0,2,0,0,4.6,0.7,0,0,0,0
Mallon,Sweden,Kortlandamossen,KOR_3,59.8483,12.2867,6,4.1,0.6,0,2.4,0,0.6,0,46.7,0.6,3,1.8,0,0,0,0,0.6,0.6,0,8.9,0,0,0,2.4,0.6,0,3.6,0,0.6,0,0,14.8,5.9,0,0,0,0,0.6,0,0,1.8,0,0,2.4,0.6,0,0,0,0.6
Payne,Scotland,Moidach More,MOMO23,57.4487,-3.6346,6,4.8,5.4,0,0,0,0,0,51.5,0,12.3,6.9,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,10,0,0,0,1.5,4.6,0,0,0,0,0,0,0,0,2.3,0,0,3.8,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO120,57.4487,-3.6346,6,5.1,4,2.6,0.7,0,0,0,68.2,0,4,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,1.3,2.6,0,0,0,0,0.7,0,0,0,7.9,0,0,0.7,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO102,57.4487,-3.6346,6,5,8.8,1.5,0,0,0,0,50.4,0,8,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0.7,6.6,0,0,0,0,0,0,0,0,5.1,0,0,5.8,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO77,57.4487,-3.6346,6,4.9,11,0.6,0,0,0,0,37.4,0,9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,1.3,5.8,0,0,0,0,0.6,0.6,0,0,6.5,0,0,9,2.6,0,0,0,0.6
Payne,Scotland,Moidach More,MOMO115,57.4487,-3.6346,6,5.1,9.6,0,1.9,0,0,0,52.9,0,9.6,3.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,2.5,5.7,0,0,0,0,0,0,0,0,5.1,0,0,1.3,0,0,0,0,0
Lamentowicz,Poland,Jelenia Wyspa,JEL01,53.6077,17.956,6,4.3,0,17.6,45.9,18.2,0,0.6,0,0,5,0,0,0,1.9,0,0,0,0,1.9,0,0,0,0.6,0,0,1.3,1.3,0,0,0,0,0.6,0,0,0,0,0,0,0,3.1,0,0,0.6,0,0,0,0,0
Swindles,N. Ireland,Slieveanorra,SL19,55.0728,-6.2108,6,4,6.7,0,1.2,0,0,0,84,0,3.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0
Charman,Estonia,Mannikjarve,ES 11,58.8752,26.2479,6,NA,12.6,0.7,6,0,0,0,25.8,0,2,0.7,0,0,0,0,0,0,0,2,0,0,0,1.3,0.7,0.7,4.6,0,1.3,0,0,37.1,2.6,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
Payne,Scotland,Moidach More,MOMO118,57.4487,-3.6346,6,4.9,15.5,1.8,0,0,0,0,45.2,0,3.6,4.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0.6,7.7,0,0,0,0,1.2,0,0,0,4.8,0,0,1.8,0,0,0,0,0
Mitchell,Switzerland,Les Pontins,S 29    ,47.1275,6.9878,6,3.9,8.2,0.5,0,0,0,0,18.6,0,1.6,1.1,1.6,0,0,0,1.1,0,0,10.9,1.6,0,0,0,6,0,3.8,2.7,3.8,2.7,0,1.1,3.8,0,7.1,0,0,0,0,0.5,5.5,0,0,17.5,0,0,0,0,0
Warner,Finland,Lakkasuo,BF-34 (LK),61.7833,24.2943,6.5,4.8,0,1.1,0,0,0.6,0,0.6,0,5.6,1.1,0,28.7,6.2,0,0.6,0,0,0,0,0,0,0,0,2.2,0,7.9,7.3,0,4.5,19.7,0,0,6.2,0,0,0.6,0,0,7.3,0,0,0,0,0,0,0,0
Turner,England,Ilkley Moor,IM44,53.8942,-1.8241,7,4.3,0,0,0,0,0,0,0,0,2.9,6.3,0,0,0,0,2.9,0,8,5.7,0,0,0,0,0,0,35.6,1.7,1.7,0,3.4,0,0,0,0,0,1.7,2.3,0,0,24.1,0,0,0,0,0,0,0,0
Mitchell,Netherlands,Dwingeloo,NL-14,52.7973,6.3968,7,4.8,0,1.2,0,0,0,0,0,0,14,2.3,10.5,0,1.2,0,3.5,0,0,1.2,0,0,0,0,0,0,66.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamentowicz,Poland,Kaczory,KACZ,53.123,16.9155,7,3.9,0,4,0,0,0,0,0,0,8.1,2,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0.7,15.4,0,0,3.4,0,9.4,0,0,40.9,0,0,0,0,0,0,0,0
Mazei,Russia,Penza-38,p-7-2,52.8269,46.3535,7,4.2,0,23,0,0,0,0,0.1,0,23.9,0,0,0,0,0,1.5,0,0,41.2,0,0,0,0,0,0,0.3,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turner,England,Swarth Moor,SM100,54.1214,-2.2975,7,5.3,0,0,0.7,0,0,0,0,0,13.2,9.9,0,3.9,1.3,0,3.3,0,0,0.7,0,0,0,0,0,0,6.6,1.3,0.7,8.6,9.2,0,0,0,0.7,0,0,1.3,0,0,27.6,0,0,0.7,10.5,0,0,0,0
Mitchell,Netherlands,Dwingeloo,NL-16,52.7973,6.3968,7,4.8,0,0,0,0,0,3.4,0,0,4.6,1.7,1.1,0,0,0,7.5,0,0,0,0,0,0,0,0,0,29.9,9.2,0,0,0,40.2,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell,Netherlands,Dwingeloo,NL-12,52.7973,6.3968,7,4.9,0,0,0,0,0,5.4,0,0,15.9,1.3,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,14.2,5.4,0,0,0,49.8,0,0,0,0.4,0,0,0,0,0,0,0,0.8,0,0,0,0,0
Mitchell,Netherlands,Dwingeloo,NL-11,52.7973,6.3968,7,4.6,0,0,0,0,0,0.3,0,0,0.3,0.3,2.6,0,0,0,5.4,0,0,0,0,0,0,0,0,0,12.1,1.9,0,0,0,70.6,0,0,0,4.2,0,0,0,0,0,0,0,1.9,0,0,0,0,0.3
Mitchell,England,Roundsea bog,UK-8,54.2141,-3.0013,7,4.5,0,1.7,0,0,0,0.4,0,0,0.4,0.4,1.7,0,0,0,3.9,0,0,0,0,0,0,0.4,0,0,20,26.5,0,0,0,0,0,0,0,38.7,3,0,0,0,2.6,0,0,0,0,0,0,0,0
Mitchell,Switzerland,Les Pontins,S 30    ,47.1275,6.9878,7,4.2,0,0,0,0,0,0,1.4,0,1.4,1.4,0,0.5,0,0,3.2,0,0,0.5,0,0,0,0,1.4,0,4.2,1.9,0,2.3,0,16.7,25,0,0,0,0,3.2,0,0,31,0,0,6,0,0,0,0,0
Lamentowicz,Poland,Skrzynka,SKRZ03,53.8171,17.5233,7,4.5,0,2.2,0,0,0,0,7.7,0,9.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,3.8,0,0,9.3,42.6,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO128,57.4487,-3.6346,7,4.8,0,8.3,0,0,0,0,27.3,0,24.2,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,4.5,6.8,0,0,0,0,0,0,0,0,12.1,0,0,3,1.5,0,0,0,0
Payne,Scotland,Moidach More,MOMO99,57.4487,-3.6346,7,5.2,0,0,0,0,0,0,36.4,0,7.3,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,0,0,3.6,4.8,0,0,0,0,0,0,0,0,0,19.4,0,0,0,0.6,0,0,0,0
Mitchell,Netherlands,Dwingeloo,NL-20,52.7973,6.3968,7,4.7,0,0,0,0,0,0,0,0,1.8,3.5,4.1,0,0,0,3.5,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,56.1,0,0,0,1.2,0,0,0,0,0,0,0,17,0,0,0,0,0
Lamentowicz,Poland,Chlebowo,CHL6,52.7364,16.7569,7,4.5,0,0,0,0,0,0,0,0,1.2,0.6,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0.6,0,0.6,77.4,0,0,0,0,0,0,0,6.5,0,0,0.6,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO110,57.4487,-3.6346,7,5,1.8,0,0.9,0,0,0,28.3,0,16.8,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,5.3,2.7,0,0,0,0,0,0,0,0,17.7,0,0,0.9,1.8,0,0,0,0
Payne,Scotland,Moidach More,MOMO112,57.4487,-3.6346,7,5,0.9,0.9,1.7,0,0,0,34.5,0,14.7,2.6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,0,0,0,3.4,1.7,0,0,0,0,0,0,0,0,19.8,0,0,0,0.9,0,0,0,0
Payne,Scotland,Moidach More,MOMO136,57.4487,-3.6346,7,4.9,0.7,6,0,0,0,0,30.2,0,12.8,3.4,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,4.7,10.1,11.4,0,0,0,0,0,0,0,7.4,0,0,1.3,0,0,0,0,0
Charman,Germany,Bissendorfer Moor,DM 16,52.5037,9.6811,7,NA,0,0,29.8,0,0,0,0,0,11.3,0,0,0,0,0,13.2,0,0,5.3,0,0,0,0,4.6,0,13.9,2,0,0,0.7,0,0,11.9,0,0,0,1.3,0,0,4.6,0,0,0,0,0,0,0,1.3
Charman,Estonia,Mannikjarve,ES 4,58.8752,26.2479,7,NA,0,0,6.4,0,0,0,21.8,0,7.1,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.2,0,0,0,46.2,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charman,Faroe Is.,Masaklettar,FO 17,62.1665,-6.9,7,NA,4.7,0,0,0,0,0,18.8,4,8.1,2.7,0,0,3.4,0,2,0,0,0,0,0,0,0,9.4,0,11.4,8.7,0,2,4,0,0,0,0,0,2.7,8.7,0,0,6,2.7,0,0,0,0,0.7,0,0
Payne,Scotland,Moidach More,MOMO121,57.4487,-3.6346,7,5.2,0,0,2.2,0,0,0,34.5,0,12.9,2.9,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,15.1,0,0,0,5.8,15.1,2.9,0,0,0,0,0,0,0,4.3,0,0,2.9,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO5,57.4487,-3.6346,7,4.6,0.7,4.9,0,0,0,0.7,40.3,0,11.8,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,2.8,4.9,4.2,0,0,0,0,1.4,0,0,0,6.3,0,0,2.1,3.5,0,0,0,0
Payne,Scotland,Moidach More,MOMO11,57.4487,-3.6346,7,4.5,0,2.1,0,0,0,0,45.4,0,19.1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,5,5,0.7,0,0,0,0,0,0,0,7.1,0,0,3.5,1.4,0,0,0,0
Payne,Scotland,Moidach More,MOMO25,57.4487,-3.6346,7,4.6,0.8,2.4,0.8,0,0,0,44.7,0,13,4.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0.8,6.5,5.7,0,0,0,0,0,0,0,0,8.9,0,0,0,1.6,0,0,0,0
Mazei,Russia,Penza-21,p-3-4,53.3037,45.1366,7,4,0,1.9,0,0.4,0,0.2,0,0,2.5,1,0,6.4,0,0,0,0,0,0.3,0,0,0,1.2,0,0.6,0.3,0,18.8,0,0,3.5,62,0,0,0,0,0.1,0,0,0.1,0,0,0.6,0,0,0,0,0
Mitchell,Sweden,La Chaux-des-Breuleux,SU-20,47.2268,7.0498,7,4.8,0,0,0,0,0,0,0,0,4.5,2.6,0,0,0,0,1.5,0,0,2.2,0,0,0,1.5,0,0,21.6,3.4,3.7,1.5,0,17.9,4.1,0,0,4.1,0,4.9,0,0,0.4,0,0,22.8,0,0,0.4,0,0
Payne,Scotland,Moidach More,MOMO142,57.4487,-3.6346,7,5,0,6.4,0.6,0,0,0,42.3,0,7.7,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,2.6,10.3,18.6,0,0,0,0,0,0,0,1.9,0,0,0,0.6,0,0,0,0
Payne,Scotland,Moidach More,MOMO1,57.4487,-3.6346,7,4.4,0,0,0,0,0,0,48.2,0,10.1,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,0,0,0,2.9,2.9,0,0,0,0,0.7,0.7,0,0,5,0,0,1.4,3.6,0,0,0,0
Mazei,Russia,Karelia-2,k-2-11,66.5238,32.9097,7,4.1,0,0.4,0,0,0,0,29.1,0,0.9,0.3,0.2,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0.8,0,3,0,0,18.5,29.7,0,0.3,7.8,0,0,0,0,0.5,0,0,0,6.1,0,0,0,0
Mitchell,Sweden,La Chaux-des-Breuleux,SU-5,47.2268,7.0498,7,4.7,0,1.4,0,0,0,0,0,0.2,6.4,8.3,0,0,0,0,1.9,0,0,1.9,0,0,0,1.7,0,0.2,17.4,3.3,9.8,1.7,0,9,5,0,1,2.6,0,0,0,0,2.9,0,0,24.3,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO100,57.4487,-3.6346,7,5.2,0.6,2.5,0,0,0,0,52.5,0,2.5,4.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,0,1.2,5.6,4.3,0,0,0,0,0.6,0,0,0,9.3,0,0,1.9,0.6,0,0,0,0
Turner,England,Swarth Moor,SM104,54.1214,-2.2975,7,4.4,0,1.9,0,0,0,0,59,0,11.5,1.3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3.2,0,0.6,4.5,0,0,0,0,0,0,0,0,6.4,0,0,1.3,0,0,0,0,0
Charman,Estonia,Mannikjarve,ES 16,58.8752,26.2479,7,NA,0,0,0.7,0,0,0,45.8,0,2,0.7,0,0,0,0,0,0,0,0.7,0,0,0,0.7,0,0,2,0,0,0,0,41.2,2.6,0,0.7,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0
Lamentowicz,Poland,Kozie,KOZ03,53.6965,17.8974,7,4.1,0,2.5,0,0,0,0,4.4,0,3.1,0.6,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0.6,0,15.7,0,0,20.8,39,0,1.3,0,0,0,0,0,0.6,0,0,6.9,0,0,0,0,0
Mitchell,Sweden,La Chaux-des-Breuleux,SU-13,47.2268,7.0498,7,4.6,0,0,0,0,0,0,8.6,0,2.5,4.9,0,0,0,0,1.8,0,0,0,0,0,0,1.2,0,0,3.7,0.6,9.2,5.5,0,14.1,8,0,1.2,5.5,0,0,0,0,1.8,0,0,30.1,0,0,0,0,0
Bobrov,Russia,Staroselia,STAR_4,56.4666,33.05,7,3.4,0,0.3,0,0,0,0,18.2,0,4.9,0,0,0,0,0,1.2,0,0,9.8,0,0,0,0.9,0,0,7.7,0.3,1.5,0,0,8.3,11.1,0,0.6,0,0,0,0,0,1.2,0,0,25.8,1.5,0,0,0,0
Charman,Finland,Kontolanrahka,FI 16,60.7837,22.7874,7,NA,0,0.4,0.9,0,0,0,37.6,0,0,1.3,0,0,0,0,0,0,0,2.6,0,0,0,3,1.7,0,2.1,0,3,0,0,17.9,7.7,0,0,0,0,5.1,0,0,1.7,0,0,15,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO117,57.4487,-3.6346,7,5,0,0.6,0,0,0,0,81.2,0,4.5,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0.6,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0
Payne,Scotland,Moidach More,MOMO138,57.4487,-3.6346,7,4.9,1.9,0.6,0.6,0,0,0,69.5,0,7.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,1.3,5.8,3.9,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0
