PERSON,COUNTRY,SITE,SAMPLE,Lat,Long,WTD,pH,AMP WRI,ARC ARE,ARC DIS,ARC GIB,ARC HEM,ARC VUL,ARC FLA,ARG DEN,ASS MUS,ASS SEM,BUL IND,CEN ACU,CEN AER,CEN ECO,COR TRI,CRY SAC,CRY OVI,CYC ARC,DIF ACU,DIF GRA,DIF LAB,DIF LEI,DIF LUC,DIF OBL,EUG CIL,EUG ROT,HEL PET,HEL ROS,HEL SYL,HYA ELE,HYA PAP,HYA SUB,NEB CAR,NEB COL,NEB FLA,NEB MIL,NEB MIN,NEB PEN,NEB TIN,PAD LAG,PAR IRR,PSY GRI,PLA SPI,QUA SYM,SPHENO,TRA DEN,TRI ARC
Charman,Faroe Is.,Masaklettar,FO 9,62.1665,-6.9,30,NA,0,0,0,0,0,0,0,0,15.2,0,0,0,3,0,23.2,0,0,7.9,0,0,0,0,0.6,0,11.6,15.9,0.6,0,1.8,0,0,0,0,0,0,0.6,0,0,19.5,0,0,0,0,0,0,0,0
Mallon,Sweden,South,S11_12,57.1139,12.7811,30,3.8,0,0,0,0,0,0,1.4,0,25.7,5,0,0,0,0,25.7,0.7,7.1,17.9,0,0,0,0,0,0,2.9,3.6,0,1.4,6.4,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0
Lamentowicz,Switzerland,Lej Marsch,58,46.4753,9.8197,30,4.1,0,29.2,0,0,0,0,0.6,0,42.1,12.9,0,1.1,0,0,0.6,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,1.7,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0
Swindles,N. Ireland,Moninea,MO32,54.1417,-7.5425,30,3.8,0,0,0,0,0,0,0,0,44.1,0,0,0,0.5,0,3.8,0,0,25.3,0,0,0,0,0,0,2.7,0,0,1.1,1.1,0,0,0,0,0,5.9,1.1,0,0,2.1,0,0,0,0,0,0,0,1.6
Swindles,N. Ireland,Moninea,MO14,54.1417,-7.5425,30,4.1,0,0,0,0,0,0,0,0,29.1,0,3.8,0,3.2,0,0.6,0,0,13.9,0,0,0,0,0,0,7,2.5,2.5,0.6,8.2,0,0,0,0,1.9,1.9,1.3,0,0,17.7,0,0,0,0,0,0,0,5.7
Swindles/Turner,Sweden,Stordalen,S36,68.3563,19.0477,30,3.3,0,0,0,0,0,0,0,0,19.3,2.4,0,0,0,0,25.9,0.5,0,3.8,0,0,0,0,0,0,39.6,2.4,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,3.3,0,0,0,0.5
Mallon,Sweden,South,S11_9,57.1139,12.7811,30,3.9,0,0,0,0,0,0,0,0,21.9,0,0,0,0,0,7.9,6,2,11.3,0,0,0,0,0,0,13.2,20.5,0,0,6.6,0.7,0,0,0,0,0,2.6,2,0,4.6,0,0,0,0,0,0,0,0.7
Mitchell,Switzerland,Les Pontins,S 24    ,47.1275,6.9878,30,4.2,0,0,0,0,0,0,0,0,9.3,1.3,0,0,0.9,0,13.7,0,3.5,8.8,0,0,0,0,2.2,0,7.9,5.7,7,0,0,0,0,0.4,0.4,0,0,23.3,0,0,15,0,0,0,0,0,0,0,0.4
Swindles,N. Ireland,Moninea,MO24,54.1417,-7.5425,30,3.6,0,0,0,0,0,0,0,0,19.2,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,4.6,1.3,0,0,31.1,0,0,0,0,0,36.4,0,0,0,6,0,0,0,0,0,0,0,0
Swindles,N. Ireland,Moninea,MO21,54.1417,-7.5425,30,3.7,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,2.8,0,0,21.7,0,0,0,0,0,0,0.9,0,0,0.5,0.5,0,0,0,0,0,34.9,0,0,0,28.3,0,0,0,0,0,0,0,0.5
Mitchell,Switzerland,Les Pontins,S 26    ,47.1275,6.9878,30,4.1,0,0.3,0,0,0,0,0,0,0.7,7.4,0,0,0,0,6.1,0,0,1.7,0,0,0,0,0,0,4.4,13.8,16.2,0,0,0,0,0,0,0,0,24.6,0,0,21.2,0,0,0,2.4,0,0,0,1.3
Lamentowicz,Poland,Jelenia Wyspa,JEL14,53.6077,17.956,30,4,0,26,0,0,0,1.3,0,0,38.3,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
Mallon,Sweden,North,N3_10,59.8542,12.3031,30,3.9,0,0,0,0,0,0,0.7,0,22.4,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,15,0,0.7,0,16.3,30.6,0.7,0,0,0,0,1.4,0,0,0,0.7,0,0,0,0,0,0,0.7
Mallon,Sweden,South,S11_5,57.1139,12.7811,30,3.9,0,0,0,0,0,0,0,0,17.2,3.8,0,0,0,0,1.9,0.6,0,49,0,0,0,0,0,0,3.2,2.5,0,0,0,0.6,0,0,0,0,0.6,1.3,3.2,0,15.3,0,0,0,0,0,0,0,0.6
Lamentowicz,Poland,Linje,LIN6,53.1875,18.3096,30,NA,0,7.3,0,0,0,0,0,0,21.9,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,2.2,0.6,0,0,0,5.6,10.7,0,0,3.4,0,5.6,0,0,33.1,0,0,6.2,0,0,0,0,0
Mallon,Sweden,South,S3_9,57.1747,12.6342,30,3.8,0,0,0,0,0,0,4.6,0,11.5,0.8,0.8,0,0,0,1.5,3.1,1.5,3.1,0,0,0,0,0,0,9.2,9.2,0.8,0,8.5,40.8,0,1.5,0,0,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0
Mallon,Sweden,North,N4_11,59.8753,12.2914,30,4.1,0,0,0,0,0,0,2.7,0,17.4,0.7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,12.8,24.2,35.6,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0
Mallon,Sweden,Kortlandamossen,KOR_1,59.8483,12.2867,30,3.6,0,0.6,0,0,0,0,20.8,0,5.8,0.6,0,0,0,0,3.9,3.2,0,0,0,0,0,0,0,0,6.5,0.6,0,0,3.2,48.1,0.6,0,0,0,0,0,2.6,0,2.6,0.6,0,0,0,0,0,0,0
